Date,RELIANCE.NS,HDFCBANK.NS,TCS.NS,INFY.NS,^NSEI
2023-09-07,2469.98,1534.91,3697.77,1487.01,22089.93
2023-09-08,2527.66,1515.39,3677.3,1475.05,22076.73
2023-09-11,2515.69,1503.3,3723.55,1514.65,22182.79
2023-09-12,2445.38,1483.72,3648.25,1477.67,21884.09
2023-09-13,2413.17,1457.63,3550.16,1451.38,21654.3
2023-09-14,2462.23,1430.21,3501.96,1433.37,21549.46
2023-09-15,2428.62,1430.8,3477.8,1439.86,21410.95
2023-09-18,2480.63,1441.31,3480.94,1442.1,21513.2
2023-09-19,2412.28,1430.97,3452.17,1432.79,21372.96
2023-09-20,2394.64,1433.94,3436.65,1428.27,21327.96
2023-09-21,2363.93,1440.47,3400.81,1411.15,21239.32
2023-09-22,2352.99,1442.56,3471.55,1437.79,21336.86
2023-09-25,2367.34,1451.18,3443.87,1414.88,21407.31
2023-09-26,2339.92,1424.08,3457.27,1416.79,21147.33
2023-09-27,2309.75,1416.82,3383.98,1376.6,20941.69
2023-09-28,2321.49,1421.32,3415.52,1364.28,21001.3
2023-09-29,2334.45,1444.63,3464.17,1376.67,20982.23
2023-10-02,2338.82,1458.85,3482.9,1385.12,21464.57
2023-10-03,2347.45,1434.9,3508.3,1390.29,21462.49
2023-10-04,2458.19,1447.33,4142.4,1566.86,22344.3
2023-10-05,2464.0,1513.69,4223.3,1597.11,22766.32
2023-10-06,2547.0,1544.39,4284.89,1631.31,23265.64
2023-10-09,2568.02,1535.0,4291.84,1651.99,23446.17
2023-10-10,2575.94,1537.54,4335.31,1665.26,23672.81
2023-10-11,2541.34,1544.5,4306.15,1660.57,23622.84
2023-10-12,2558.52,1498.37,4253.02,1644.65,23413.2
2023-10-13,2576.34,1511.49,4308.99,1664.97,23584.29
2023-10-16,2654.13,1583.64,4386.07,1682.34,24310.51
2023-10-17,2663.23,1594.59,4359.5,1673.76,24227.19
2023-10-18,2674.35,1557.37,4345.82,1667.89,24045.78
2023-10-19,2679.64,1572.46,4382.71,1681.79,24281.22
2023-10-20,2637.16,1573.5,4349.2,1702.51,24304.27
2023-10-23,2695.76,1603.28,4303.85,1692.31,24392.98
2023-10-24,2660.05,1595.97,4264.35,1666.84,24067.86
2023-10-25,2738.24,1619.04,4297.83,1673.78,24273.08
2023-10-26,2669.95,1617.1,4234.07,1628.31,23972.03
2023-10-27,2632.87,1613.73,4223.02,1647.69,23806.73
2023-10-30,2727.19,1608.72,4217.07,1638.21,23783.38
2023-10-31,2715.01,1611.41,4252.67,1667.75,23793.76
2023-11-01,2764.47,1629.08,4229.43,1654.21,23875.44
2023-11-02,2779.9,1578.52,4218.45,1652.99,23768.55
2023-11-03,2766.71,1579.93,4207.94,1606.28,23785.12
2023-11-06,2782.4,1600.97,4179.13,1603.9,23886.66
2023-11-07,2723.78,1592.23,4146.68,1585.0,23627.02
2023-11-08,2748.45,1567.42,4081.46,1565.32,23527.84
2023-11-09,2757.35,1595.15,4114.07,1563.36,23861.51
2023-11-10,2751.23,1623.97,4022.74,1531.96,23806.86
2023-11-13,2748.78,1659.05,4074.75,1535.1,23971.4
2023-11-14,2749.08,1663.03,4062.23,1507.07,23738.13
2023-11-15,2732.16,1641.66,4041.91,1520.81,23568.85
2023-11-16,2755.77,1643.0,4062.67,1517.27,23569.64
2023-11-17,2844.71,1675.76,3973.33,1523.06,23917.79
2023-11-20,2830.62,1711.31,4003.93,1517.29,24037.4
2023-11-21,2899.26,1729.48,3994.2,1477.67,24113.81
2023-11-22,2854.73,1763.13,3986.23,1476.12,24067.14
2023-11-23,2804.24,1753.09,3888.79,1449.65,23694.95
2023-11-24,2803.06,1776.53,3922.79,1456.38,23839.84
2023-11-27,2836.79,1766.32,3977.55,1488.74,23871.51
2023-11-28,2849.15,1763.83,4042.13,1519.57,24003.09
2023-11-29,2917.13,1838.38,3942.39,1488.48,24096.24
2023-11-30,2917.14,1818.9,3979.45,1538.32,24185.9
2023-12-01,2853.67,1789.1,3923.96,1539.91,23974.81
2023-12-04,2871.05,1775.17,3888.91,1533.81,23912.72
2023-12-05,2926.54,1775.96,3693.12,1467.24,23627.06
2023-12-06,2946.13,1787.84,3737.35,1475.88,23735.6
2023-12-07,2922.2,1784.2,3792.42,1499.03,23782.93
2023-12-08,2971.06,1756.15,3796.1,1502.49,23677.6
2023-12-11,2957.96,1752.57,3736.15,1471.58,23609.59
2023-12-12,2988.73,1742.11,3735.43,1460.39,23536.72
2023-12-13,3012.64,1753.87,3765.06,1473.44,23568.93
2023-12-14,2996.22,1734.82,3797.12,1478.68,23371.41
2023-12-15,3067.45,1726.95,3914.65,1515.97,23555.04
2023-12-18,3019.52,1736.64,3959.5,1550.59,23664.82
2023-12-19,3024.75,1798.67,3986.6,1551.98,23765.36
2023-12-20,3025.59,1782.64,3979.44,1542.61,23646.65
2023-12-21,3058.82,1736.53,4023.44,1554.79,23587.87
2023-12-22,3115.16,1728.92,4003.93,1547.06,23543.69
2023-12-25,3128.9,1712.88,3930.64,1532.19,23422.05
2023-12-26,3066.51,1719.69,3952.92,1551.85,23427.9
2023-12-27,3085.54,1722.92,3915.04,1514.95,23406.48
2023-12-28,2909.85,1697.25,3820.61,1467.69,22858.03
2023-12-29,2992.41,1735.03,3880.09,1471.86,23206.01
2024-01-01,3006.79,1773.39,3940.46,1501.38,23575.54
2024-01-02,2939.34,1716.3,3978.35,1491.57,23189.09
2024-01-03,3037.59,1779.9,4003.35,1514.05,23725.59
2024-01-04,3062.29,1776.36,3965.46,1514.74,23851.08
2024-01-05,3049.13,1790.14,3982.46,1519.27,23860.62
2024-01-08,3072.96,1784.61,3962.84,1506.6,23783.51
2024-01-09,3081.26,1763.88,3965.46,1533.18,23679.43
2024-01-10,3082.6,1792.35,4027.57,1588.8,23856.63
2024-01-11,3040.61,1799.42,4085.79,1595.74,23886.14
2024-01-12,3016.59,1765.79,4064.58,1607.19,23657.65
2024-01-15,3026.34,1773.15,4062.22,1579.42,23668.76
2024-01-16,2977.81,1786.29,4082.5,1583.42,23696.29
2024-01-17,2930.28,1799.17,4093.0,1581.26,23502.46
2024-01-18,2890.09,1818.56,4054.75,1566.55,23299.55
2024-01-19,2970.15,1823.44,4063.38,1564.21,23569.08
2024-01-22,3150.73,1855.72,4106.57,1559.49,23885.77
2024-01-23,3164.69,1858.54,4100.77,1557.74,24144.94
2024-01-24,3033.71,1882.26,4078.46,1539.2,23988.54
2024-01-25,3002.75,1924.23,4110.74,1562.18,24043.13
2024-01-26,2990.76,1937.02,4186.94,1583.34,24296.87
2024-01-29,3018.88,1981.56,4265.88,1606.72,24414.96
2024-01-30,3027.39,1972.07,4310.67,1623.37,24456.15
